"","particpate","elaboration","prefood","pregas","prebank","preretail","preother","Rfreq","mile1","mile2","mile3","mile4","basemile"
"1306",1,30,2.4838695526,1.5806446075,48.6612854,1.5806446075,0.2258063555,0,13,16,130,8,54.5322505231
"1324",0,0,0,0,7,0,0,0,0,38,0,0,7
"1325",0,0,1.01612854,0.1129031777,12.41934967,0,0,0,1,0,14,25,13.5483813877
"1341",1,22,0,0.1129031777,7.4516105652,0,0,0,31,1,1,0,7.5645137429
"1344",1,10,44.370941162,0,0,0,2.7096767426,0,37,0,72,85,47.0806179046
"1356",0,0,1.6935482025,0.9032254219,43.467712402,1.3548383713,8.2419281006,0,56,10,31,1,55.6612524983
"1360",0,0,50.467712402,0,14,0.5645160675,0,0,205,0,8,186,65.0322284695
"1385",1,35,1.01612854,0.6774191856,27.322570801,0,0,0,291,0,1,3,29.0161185266
"1386",0,0,10.04838562,1.9193544388,9.3709640503,0,0,0,27,8,8,50,21.3387041091
"1399",1,27,64.354797363,0,2.5967731476,0,6.2096748352,0,24,14,39,12,73.1612453458
"1415",0,0,5.3064498901,2.25806427,72.032226563,0.451612711,0,0,153,4,25,35,80.0483534341
"1424",0,0,31.387084961,2.9354820251,20.774185181,0.1129031777,107.9354248,0,15,13,63,70,163.1450801448
"1429",1,18,12.983863831,7,89.19354248,51.935455322,0,0,153,57,16,6,161.112861633
"1430",0,0,4.7419319153,0,188.88708496,1.6935482025,22.69354248,0,34,1212,7,17,218.0161075578
"1432",1,27,40.306427002,0.9032254219,22.241928101,0.1129031777,2.3709659576,0,6,65,5,173,65.9354496602
"1444",1,19,2.4838695526,18.06451416,96.19354248,0,15.467735291,0,387,5,13,5,132.2096614836
"1446",1,14,9.0322570801,0,30.59677124,0,0,0,0,0,16,0,39.6290283201
"1448",0,0,6.7741928101,0.3387095928,54.758056641,0.1129031777,0,0,85,10,2,17,61.9838622216
"1451",0,0,13.54838562,9.0322570801,38.838684082,0,4.2903213501,0,2,148,42,0,65.7096481322
"1458",0,0,33.19354248,2.145160675,9.3709640503,0,0.2258063555,0,0,3,56,44,44.9354735608
"1479",1,20,2.7096767426,0,3.5,0.1129031777,0,0,0,0,0,0,6.3225799203
"1482",1,30,24.274185181,0,23.935470581,0,0.3387095928,0,22,141,6,1,48.5483653548
"1488",0,0,20.774185181,0.2258063555,11.06451416,0,0,0,86,13,0,14,32.0645056965
"1489",0,0,0,0,16.370956421,0,0,0,46,0,0,0,16.370956421
"1494",1,52,3.0483856201,10.04838562,44.03225708,0,0,0,24,103,147,4,57.1290283201
"1497",0,0,0.5645160675,0,0,0,0,0,0,6,1,0,0.5645160675
"1501",1,27,0,9.3709640503,66.951599121,0,0,4,286,2,3,26,76.3225631713
"1507",0,0,6.887096405,0,16.709671021,0,0,0,0,0,9,118,23.596767426
"1518",1,51,2.25806427,0,0.7903223038,0,0,0,8,11,11,0,3.0483865738
"1542",0,0,2.4838695526,4.9677391052,95.403198242,0,5.3064498901,0,6,7,3,3,108.1612567899
"1549",0,0,15.69354248,0,38.048370361,0,1.6935482025,0,112,23,2,15,55.4354610435
"1550",1,5,66.048339844,0,0,0,0,0,107,5,5,194,66.048339844
"1554",0,0,1.01612854,0,19.758056641,0,0,0,26,35,1,47,20.774185181
"1555",1,0,22.01612854,0,10.95160675,0,1.3548383713,0,26,0,0,1,34.3225736613
"1557",1,13,0,0,1.2419347763,0,0,0,0,0,0,0,1.2419347763
"1584",1,16,66.387084961,8.1290283203,23.370956421,0.451612711,5.8709640503,0,17,113,38,251,104.2096464636
"1599",1,48,165.51611328,0,45.1612854,0,1.6935482025,0,213,187,64,54,212.3709468825
"1625",0,0,27.09677124,0.5645160675,54.080627441,0.2258063555,0,0,378,0,6,0,81.967721104
"1642",0,0,0.9032254219,0.2258063555,20.322570801,1.9193544388,1.6935482025,0,172,2,0,2,25.0645052197
"1655",0,0,0,0,31.951599121,0,2.3709659576,0,0,11,0,151,34.3225650786
"1656",1,11,3.8387088776,0,47.983856201,0,0,0,45,13,16,88,51.8225650786
"1665",0,0,0.2258063555,0,30.483856201,4.4032249451,0,0,146,0,21,0,35.1128875016
"1668",0,0,0,0,0.9032254219,0,0,0,1,9,0,0,0.9032254219
"1673",0,0,2.4838695526,0,21.903213501,0,0,0,92,6,1,0,24.3870830536
"1688",1,1,0.451612711,0.451612711,16.822570801,0.9032254219,0,0,0,2,0,1,18.6290216449
"1689",0,0,19.983856201,0.451612711,2.3709659576,0.7903223038,0,0,28,0,81,2,23.5967571734
"1694",1,34,32.06451416,4.629032135,134.24182129,0.5645160675,0,0,625,201,2,5,171.4998836525
"1695",1,21,5.0806427002,0,24.387084961,0,0.451612711,0,5,16,15,4,29.9193403722
"1701",0,0,0,0,11.85483551,0,0,0,11,18,0,3,11.85483551
"1702",0,0,8.2419281006,0,20.887084961,0,0,5,6,98,0,8,29.1290130616
