original,X1,0.091973186,0.072797635
FALSE,0.095585085,,0.095585085
FALSE,0.069979524,,0.069979524
FALSE,0.080396682,,0.080396682
FALSE,0.175462733,,0.175462733
FALSE,0.100681816,,0.100681816
FALSE,0.056454323,,0.056454323
FALSE,0.070548162,,0.070548162
FALSE,0.063607311,,0.063607311
FALSE,0.069653378,,0.069653378
FALSE,0.075015816,,0.075015816
FALSE,0.05774621,,0.05774621
FALSE,0.055477487,,0.055477487
FALSE,0.176163111,,0.176163111
FALSE,0.066116487,,0.066116487
FALSE,0.111254994,,0.111254994
FALSE,0.091955453,,0.091955453
FALSE,0.10016192,,0.10016192
FALSE,0.078800032,,0.078800032
FALSE,0.065419049,,0.065419049
FALSE,0.073157714,,0.073157714
FALSE,0.068333695,,0.068333695
FALSE,0.151804725,,0.151804725
FALSE,0.150443298,,0.150443298
TRUE,0.092755496,0.092755496,
FALSE,0.064758605,,0.064758605
FALSE,0.067074087,,0.067074087
FALSE,0.0835758,,0.0835758
FALSE,0.059950498,,0.059950498
FALSE,0.090513299,,0.090513299
FALSE,0.074239187,,0.074239187
FALSE,0.112834569,,0.112834569
FALSE,0.062720425,,0.062720425
FALSE,0.075699102,,0.075699102
FALSE,0.056127409,,0.056127409
FALSE,0.091458369,,0.091458369
FALSE,0.093641154,,0.093641154
FALSE,0.062710407,,0.062710407
FALSE,0.05763151,,0.05763151
FALSE,0.062416352,,0.062416352
FALSE,0.076744395,,0.076744395
FALSE,0.066266265,,0.066266265
FALSE,0.076260525,,0.076260525
FALSE,0.074307905,,0.074307905
FALSE,0.054005989,,0.054005989
FALSE,0.106899888,,0.106899888
FALSE,0.075766235,,0.075766235
FALSE,0.096081896,,0.096081896
FALSE,0.0827373,,0.0827373
FALSE,0.060142384,,0.060142384
FALSE,0.067467833,,0.067467833
FALSE,0.080087488,,0.080087488
FALSE,0.075446389,,0.075446389
FALSE,0.083560578,,0.083560578
FALSE,0.079215785,,0.079215785
FALSE,0.065172344,,0.065172344
FALSE,0.055874466,,0.055874466
FALSE,0.082718944,,0.082718944
FALSE,0.053693581,,0.053693581
FALSE,0.104944621,,0.104944621
FALSE,0.062399952,,0.062399952
FALSE,0.079433977,,0.079433977
FALSE,0.073652903,,0.073652903
FALSE,0.067249327,,0.067249327
FALSE,0.078987549,,0.078987549
FALSE,0.079961214,,0.079961214
FALSE,0.072171256,,0.072171256
FALSE,0.0653385,,0.0653385
TRUE,0.089762243,0.089762243,
FALSE,0.065287685,,0.065287685
FALSE,0.061646528,,0.061646528
FALSE,0.070099082,,0.070099082
FALSE,0.056369866,,0.056369866
FALSE,0.190941592,,0.190941592
FALSE,0.080650625,,0.080650625
FALSE,0.061434603,,0.061434603
FALSE,0.072424442,,0.072424442
FALSE,0.062626619,,0.062626619
FALSE,0.070946376,,0.070946376
FALSE,0.091610493,,0.091610493
FALSE,0.079037809,,0.079037809
FALSE,0.060160711,,0.060160711
FALSE,0.058664588,,0.058664588
FALSE,0.068021941,,0.068021941
FALSE,0.080077644,,0.080077644
FALSE,0.057126787,,0.057126787
FALSE,0.07833325,,0.07833325
FALSE,0.074813928,,0.074813928
FALSE,0.060262009,,0.060262009
FALSE,0.058676773,,0.058676773
FALSE,0.075213632,,0.075213632
FALSE,0.090954685,,0.090954685
FALSE,0.064836492,,0.064836492
TRUE,0.080417253,0.080417253,
FALSE,0.08309277,,0.08309277
FALSE,0.070928722,,0.070928722
FALSE,0.070654907,,0.070654907
FALSE,0.119994293,,0.119994293
FALSE,0.059672889,,0.059672889
FALSE,0.054791611,,0.054791611
FALSE,0.097583661,,0.097583661
FALSE,0.08995124,,0.08995124
FALSE,0.074417795,,0.074417795
FALSE,0.081880382,,0.081880382
FALSE,0.07819883,,0.07819883
TRUE,0.078134491,0.078134491,
FALSE,0.113282145,,0.113282145
TRUE,0.126897906,0.126897906,
FALSE,0.089529343,,0.089529343
FALSE,0.097007191,,0.097007191
FALSE,0.059297154,,0.059297154
FALSE,0.073700933,,0.073700933
FALSE,0.068684287,,0.068684287
FALSE,0.075350841,,0.075350841
FALSE,0.072021054,,0.072021054
