"o","X1"
3.7316989899,3.65791689326488
0,3.50492613879382
0,0
0,3.58560616947487
0,0
0,0
0,0
0,0
0,3.4881706138669
0,3.62450939901148
0,0
0,0
0,0
0,3.50012060665051
0,3.48370933955158
0,0
0,3.50857446076287
0,3.51392521467113
0,3.4959436038672
0,3.45687333784401
0,3.49040368733622
0,0
0,0
0,0
0,0
0,0
3.4271888733,3.50475959362344
0,3.54607439526434
0,3.56472304493212
0,0
0,0
0,0
0,0
3.0301322937,3.54300606840881
0,0
0,0
3.5807361603,3.47979090532784
0,3.4936954001139
0,0
0,0
0,0
0,3.54312596250945
0,0
0,0
0,0
0,0
0,0
0,3.49000170667007
0,0
0,0
0,0
0,0
0,0
0,3.52025597161524
0,0
0,3.52030794207511
0,3.48863376730853
0,3.52036761853881
0,3.48791630603278
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.5638673338984
0,0
0,0
0,0
0,3.46894347021359
0,0
0,3.48526732924178
0,0
3.9278945923,3.53614226809841
0,0
0,3.45360794493259
0,0
0,0
0,0
4.6962890625,0
0,3.57329954829011
0,0
0,3.56876119851971
0,3.51485658130548
0,0
0,0
0,0
0,3.50439950728391
0,3.48978219696096
0,0
0,0
0,3.48629719891181
0,0
0,0
0,0
0,0
0,0
0,0
2.6318874359,3.57602914308782
0,0
0,0
0,3.49293285246322
0,0
3.6011390686,3.56207033699015
0,0
0,0
0,0
0,0
0,0
0,0
0,3.52565158857603
0,0
0,0
0,3.47238070982197
0,0
0,3.52771426169904
0,3.51168497715358
0,0
0,0
0,3.47878508713699
0,0
0,3.52583283430859
0,3.50446271419052
0,3.53983370725253
0,0
0,0
0,3.46636705848765
0,0
0,0
0,3.62738195115611
0,3.47259593059983
0,3.49787424677691
0,3.53814273841994
0,3.50775496844918
0,0
0,0
0,4.11772246433959
0,0
0,0
0,0
0,3.59613955149656
0,0
0,0
0,3.50077993414054
0,0
0,0
0,0
0,0
0,0
0,0
0,3.4766702027271
0,0
0,3.47004454983286
0,3.5319446371974
0,3.50794219801717
0,0
4.1873779297,3.79454380506305
0,0
3.3945064545,3.60198271398336
0,0
0,0
3.4578914642,3.50694792145491
0,3.46532083636811
4.139793396,3.80046113540466
0,0
0,3.54050528445415
0,3.51412017539537
0,0
0,3.48674450650854
0,0
